"en","hi","mr","te","GUID"
"Drinking alcohol during pregnancy can lead to long-term harm to the baby.","गर्भावस्था के दौरान शराब पीने से बच्चे को दीर्घकालिक नुकसान हो सकता है।","गर्भधारणादरम्यान मद्यपान बाळाला दीर्घकालीन हानी करू शकते.","గర్భధారణ సమయంలో మద్యం సేవించడం శిశువుకు దీర్ఘకాలిక హాని కలిగిస్తుంది.","8e1c55a7-85d6-44ec-8efd-973fc3296b1f"
"Vitamin A supplements should not be taken during pregnancy.","गर्भावस्था के दौरान विटामिन ए की खुराक नहीं ली जानी चाहिए।","गर्भधारणेदरम्यान व्हिटॅमिन Aच्या गोळ्या घेऊ नयेत.","గర్భధారణలో విటమిన్ A మాత్రలు తీసుకోవద్దు.","2c44ae3b-eb5c-4204-a25d-b20f16d0b3cd"
"Pregnant women should avoid lying flat on the back for long durations, as the weight of the baby can press on a major blood vessel, and make the woman feel faint.","गर्भवती महिलाओं को लंबी अवधि के लिए पीठ पर लेटने से बचना चाहिए, क्योंकि बच्चे का वजन एक प्रमुख रक्त वाहिका पर दबा सकता है, और महिला को बेहोश महसूस कर सकता है।","गर्भवतींनी बराच वेळ सरळ पाठ टेकून झोपू नये; बाळाचे वजन रक्तवाहिन्यावर दाब देऊन चक्कर येऊ शकते.","గర్భిణీలు ఎక్కువసేపు నిటారుగా పడుకోకూడదు; బిడ్డ బరువు రక్తనాళంపై ఒత్తిడి చేసి తల తిరగవచ్చు.","e675283c-f624-41a8-8929-a8dcd2a6156d"
"Breast milk provides all nutrients and enough water for a child up to six months, so exclusively breastfed infants need nothing else.","माँ का दूध छह महीने तक के बच्चे के लिए सभी पोषक तत्व और पर्याप्त पानी प्रदान करता है, इसलिए विशेष रूप से स्तनपान करने वाले शिशुओं को और कुछ नहीं चाहिए।","आईचे दूध सहा महिन्यांपर्यंत सर्व पोषक घटक आणि पाणी देते; केवळ स्तनपान केलेल्या बाळांना आणखी काही लागत नाही.","తల్లిపాలు ఆరు నెలల వరకు అన్ని पोషకాలు మరియు నీరు ఇస్తాయి; పూర్తిగా పాలిచ్చే శిశువులకు మరేదీ అవసరం లేదు.","7b0785b4-a6b2-4dc3-9786-d53b438cdff8"
"Mother should continue breastfeeding even during diarrhoea or any other illnesses to help the child to get optimal nutrition and recover from the illness faster.","मां को दस्त या किसी अन्य बीमारियों के दौरान भी स्तनपान जारी रखना चाहिए ताकि बच्चे को इष्टतम पोषण प्राप्त करने और बीमारी से तेजी से उबरने में मदद मिल सके।","अतिसार किंवा इतर आजारांतही आईने स्तनपान सुरू ठेवावे; त्यामुळे बाळाला पोषण आणि लवकर बरे होण्यास मदत होते.","డయేరియా లేదా ఇతర అనారోగ్యాల్లో కూడా తల్లి పాలిచ్చడం కొనసాగించాలి; ఇది శిశువుకు పోషణ మరియు త్వరగా కోలుకోవడంలో సహాయపడుతుంది.","5c5fcfd3-672b-4771-b926-5dd4f3de46c6"
"Mother should breastfeed as often as the child wants. Frequent feeding helps mothers to produce more breastmilk.","माँ को जितनी बार बच्चा चाहे उतनी बार स्तनपान कराना चाहिए।बार-बार बच्चे को दूध पिलाने से माताओं को अधिक ब्रेस्टमिलक का उत्पादन करने में मदद मिलती है।","बाळ हवे तितक्या वेळा स्तनपान द्यावे; वारंवार दूध पाजल्याने दूध उत्पादन वाढते.","బిడ్డ కోరినన్ని సార్లు పాలిచ్చండి; తరచూ పాలిచ్చితే పాలు ఉత్పత్తి పెరుగుతుంది.","a8355660-dc6f-403b-881b-774c9b8949be"
"It is harmful to be around people who are smoking, as breathing in secondhand smoke will affect your lungs.","धूम्रपान कर रहे लोगों के पास रहना हानिकारक होता है क्योंकि सेकंडहैंड धुएं में सांस लेना आपके फेफड़ों को प्रभावित करेगा।","धूम्रपान करणाऱ्यांच्या जवळ राहणे घातक आहे; दुसऱ्या हाताच्या धुरामुळे फुफ्फुसांना हानी होते.","పొగ తాగే వారి దగ్గర ఉండటం హానికరం; రెండవ చేతి పొగ ఊపిరితిత్తులను దెబ్బతీయగలదు.","f96d2420-de92-439e-8183-537413c1f699"
"Never leave young children alone in or near water as they can drown in a very small amount of water, even in a tub/bucket.","छोटे बच्चों को कभी भी पानी में या उसके आसपास  न छोड़ें क्योंकि वे बहुत कम मात्रा में पानी में डूब सकते हैं, यहां तक ​​कि एक टब/बाल्टी में भी।","लहान मुलांना कधीही पाण्यात किंवा पाण्याजवळ एकटे सोडू नका; अगदी कमी पाण्यातही बुडू शकतात.","చిన్నారులను నీటిలో లేదా నీటి దగ్గర ఒంటరిగా వదిలేయకండి; చాలా తక్కువ నీళ్లలో కూడా మునిగిపోవచ్చు.","35753c91-207f-46b2-8fde-68976efa25e2"
"To avoid contamination, drinking water and food items should be stored in clean utensils on raised platform, in a covered container.","पीने का पानी और खाने की चीजों को गंदगी से बचाने के लिए साफ बर्तनों में उठे हुए स्थान पर ढककर रखें।","पिण्याचे पाणी आणि अन्न स्वच्छ भांड्यांमध्ये उंच ठिकाणी झाकून ठेवा, दूषित होऊ नये.","త్రాగునీరు, ఆహారాన్ని శుభ్రమైన పాత్రల్లో ఎత్తుగా మూతపెట్టి పెట్టండి; కలుషితానికి దూరంగా ఉంచండి.","23007c53-19ad-4623-beba-49196094fe8d"
"If an elderly person does not know their age, you can ask about the age of their eldest child or grandchild, or key historical events they remember.","यदि कोई बुजुर्ग व्यक्ति अपनी उम्र नहीं जानता है, तो आप उनके सबसे बड़े बच्चे या पोते की उम्र के बारे में पूछ सकते हैं, या प्रमुख ऐतिहासिक घटनाओं जो उन्हें یاد हैं।","वय माहित नसेल तर मोठ्या मुलाचे/नातवाचे वय किंवा त्यांना आठवणारे ऐतिहासिक प्रसंग विचारू शकता.","వృద్ధులకు వయసు తెలియకపోతే, పెద్ద పిల్ల/మనవడి వయసు లేదా గుర్తుండే సంఘటనలు అడగండి.","1db4f816-1bb4-4bc2-8dc6-cbf2fe9c56a4"
